93,Can you tell me about the different options available?,"Sure! Yale University offers a wide range of graduate programs across various fields, including the arts, humanities, social sciences, and natural sciences."
94,"Sure! Yale University offers a wide range of graduate programs across various fields, including the arts, humanities, social sciences, and natural sciences.",what are the popular programs in that fields?
95,what are the popular programs in that fields?,"Law, Medicine, Business, and Engineering."
96,"Hi, I would like to take up a grad course in Environmental Science","Wow, That's so cool"
97,"Wow, That's so cool",I will help you for sure 
98,I will help you for sure ,I'm specifically interested in the graduate program in Environmental Science at Yale.
99,I'm specifically interested in the graduate program in Environmental Science at Yale.,What can you tell me about it?
100,What can you tell me about it?,"It offers both a Master's and a PhD degree, and students can specialize in areas such as climate science, ecology, and sustainable development."
101,"It offers both a Master's and a PhD degree, and students can specialize in areas such as climate science, ecology, and sustainable development.",It’s a great offer for students
102,It’s a great offer for students,Cool. Thank you 
103,'m looking for a graduate program in the humanities. Does Yale offer any programs in that area?,yes the yale offers in humantities 
104,yes the yale offers in humantities ,"Humanities programs in English, History, Philosophy, and Comparative Literature."
105,"Humanities programs in English, History, Philosophy, and Comparative Literature.",That's a huge variety. 
106,That's a huge variety. ,yes it is 
107,What is the application process like for Yale graduate programs?,It varies depending on the program.
108,It varies depending on the program.,Can you tell me for any grad program point of view?
109,Can you tell me for any grad program point of view?,"It generally requires submitting transcripts, letters of recommendation, a personal statement, and standardized test scores"
110,"It generally requires submitting transcripts, letters of recommendation, a personal statement, and standardized test scores",ok. Thank you 
111,ok. Thank you ,Your welcome. 
112,Can you tell me about the different options available?,"Sure! Yale University offers a wide range of graduate programs across various fields, including the arts, humanities, social sciences, and natural sciences."
113,"Sure! Yale University offers a wide range of graduate programs across various fields, including the arts, humanities, social sciences, and natural sciences.",what are the popular programs in that fields?
114,what are the popular programs in that fields?,"Law, Medicine, Business, and Engineering."
115,"Hi, I would like to take up a grad course in Arts","Wow, That's so cool"
116,"Wow, That's so cool",I will help you for sure 
117,I will help you for sure ,I'm specifically interested in the graduate program in Arts Program at Yale.
118,I'm specifically interested in the graduate program in Environmental Science at Yale.,What can you tell me about it?
119,What can you tell me about it?,"It including programs in Art, Music, and Drama"
120,"It including programs in Art, Music, and Drama",It’s a great offer for students
121,It’s a great offer for students,Cool. Thank you 
122,Im looking for a graduate program in the humanities. Does Yale offer any programs in that area?,yes the yale offers in humantities 
123,yes the yale offers in humantities ,"Humanities programs in English, History, Philosophy, and Comparative Literature."
124,"Humanities programs in English, History, Philosophy, and Comparative Literature.",That's a huge variety. 
125,That's a huge variety. ,yes it is 
126,What is the application process like for Yale graduate programs?,It varies depending on the program.
127,It varies depending on the program.,Can you tell me for any grad program point of view?
128,Can you tell me for any grad program point of view?,"It generally requires submitting transcripts, letters of recommendation, a personal statement, and standardized test scores"
129,"It generally requires submitting transcripts, letters of recommendation, a personal statement, and standardized test scores",ok. Thank you 
130,ok. Thank you ,Your welcome. 
131,Can you tell me how many credit hours do we need to complete the Architecture Grad Program?,You'll need 120 credit hours
132,Have you heard about Yale University Grad Program?,"Yale's Graduate School of Arts & Sciences offers programs leading to M.A., M.S., M.Phil., and Ph.D. degrees in 73 departments and programs."
